Par_orig,Par_Rscript,Rep_ID,Par_type,Par_size,File,Init_values,Calibrate,Calib_range_min,Calib_range_max,Calib_values
MaxPARCE,maxparce,<p1>,Real,14,.CUL,5.7,F,5,15,5.7
APFMX,apfmx,<p2>,Real,14,.CUL,0.88,F,0.6,0.95,0.88
STKPFMAX,stkpfmax,<p3>,Real,14,.CUL,0.7,F,0.5,0.8,0.7
SUCA,suca,<p4>,Real,14,.CUL,0.58,F,0.4,0.7,0.58
TBFT,tbft,<p5>,Real,14,.CUL,25,F,20,30,25
LFMAX,lfmax,<p6>,Real,14,.CUL,12,F,6,15,12
MXLFAREA,mxlfarea,<p7>,Real,14,.CUL,360,F,300,700,360
MXLFARNO,mxlfarno,<p8>,Real,14,.CUL,15,F,10,20,15
PI1,pi1,<p9>,Real,14,.CUL,69,F,50,100,69
PI2,pi2,<p10>,Real,14,.CUL,169,F,100,200,169
PSWITCH,pswitch,<p11>,Real,14,.CUL,18,F,14,22,18
TTPLNTEM,ttplntem,<p12>,Real,14,.CUL,80,T,50,200,80
TTRATNEM,ttratnem,<p13>,Real,14,.CUL,30,F,10,100,30
CHUPIBASE,chupibase,<p14>,Real,14,.CUL,1050,T,600,1500,1050
TT_POPGROWTH,tt_popgrowth,<p15>,Real,14,.CUL,600,T,300,900,600
POPTT16,poptt16,<p16>,Real,14,.CUL,13.3,T,7,15,13.3
TAR0,tar0,<p17>,Real,14,.CUL,0.02,F,0.01,0.05,0.02
TDELAY,tdelay,<p18>,Real,14,.CUL,50,F,10,80,50
LER0,ler0,<p19>,Real,14,.CUL,0.25,F,0.1,0.4,0.25
SER0,ser0,<p20>,Real,14,.CUL,0.14,F,0.1,0.2,0.14
LG_AMBASE,lg_ambase,<p21>,Real,14,.CUL,220,F,190,250,220
AQP_UP5,aqp_up5,<p22>,Real,14,.CUL,0.45,F,0.3,0.6,0.45
DELTTMAX,delttmax,<p1>,Real,14,.ECO,0.07,F,0.03,0.12,0.07
SWDF2AMP,swdf2amp,<p2>,Real,14,.ECO,0.5,F,0.25,0.75,0.5
EXTCFN,extcfn,<p3>,Real,14,.ECO,0.84,F,0.6,1.1,0.84
EXTCFST,extcfst,<p4>,Real,14,.ECO,0.58,F,0.4,0.7,0.58
LFNMXEXT,lfnmxext,<p5>,Real,14,.ECO,20,F,10,30,20
AREAMX_CF(2),areamx_cf(2),<p6>,Real,14,.ECO,27.2,F,20,40,27.2
AREAMX_CF(3),areamx_cf(3),<p7>,Real,14,.ECO,-20.8,F,-30,-5,-20.8
